,VID,Type,Number,Republicans,Democrats,Others
23074,6718,Nay,59,13,46,0
23075,6718,Not Voting,5,3,2,0
23076,6719,Yea,40,25,13,2
23077,6719,Nay,55,14,41,0
23078,6719,Not Voting,5,3,2,0
23079,6720,Yea,92,39,51,2
23080,6720,Nay,3,0,3,0
23081,6720,Not Voting,5,3,2,0
23082,6721,Yea,50,11,38,1
23083,6721,Nay,42,26,15,1
23084,6721,Not Voting,8,5,3,0
23085,6722,Yea,75,27,47,1
23086,6722,Nay,20,12,7,1
23087,6722,Not Voting,5,3,2,0
23088,6723,Yea,54,12,42,0
23089,6723,Nay,38,25,11,2
23090,6723,Not Voting,8,5,3,0
23091,6724,Yea,56,35,19,2
23092,6724,Nay,36,2,34,0
23093,6724,Not Voting,8,5,3,0
23094,6725,Yea,63,16,47,0
23095,6725,Nay,28,21,6,1
23096,6725,Not Voting,9,5,3,1
23097,6726,Yea,57,13,43,1
23098,6726,Nay,34,24,9,1
23099,6726,Not Voting,9,5,4,0
23100,6727,Yea,58,14,44,0
23101,6727,Nay,34,23,9,2
23102,6727,Not Voting,8,5,3,0
23103,6728,Yea,88,36,50,2
23104,6728,Present,1,1,0,0
23105,6728,Not Voting,11,5,6,0
23106,6729,Yea,75,37,36,2
23107,6729,Nay,16,0,16,0
23108,6729,Present,1,1,0,0
23109,6729,Not Voting,8,4,4,0
23110,6730,Yea,77,27,49,1
23111,6730,Nay,11,9,1,1
23112,6730,Not Voting,12,6,6,0
23113,6731,Yea,67,24,42,1
23114,6731,Nay,20,11,8,1
23115,6731,Not Voting,13,7,6,0
23116,6732,Yea,74,27,46,1
23117,6732,Nay,13,9,3,1
23118,6732,Not Voting,13,6,7,0
23119,6733,Yea,83,32,49,2
23120,6733,Nay,1,1,0,0
23121,6733,Present,1,1,0,0
23122,6733,Not Voting,15,8,7,0
23123,6734,Yea,46,9,37,0
23124,6734,Nay,42,27,13,2
23125,6734,Not Voting,12,6,6,0
23126,6735,Yea,48,16,32,0
23127,6735,Nay,40,20,18,2
23128,6735,Not Voting,12,6,6,0
23129,6736,Yea,56,18,38,0
23130,6736,Nay,32,19,11,2
23131,6736,Not Voting,12,5,7,0
23132,6737,Yea,57,29,27,1
23133,6737,Nay,27,8,18,1
23134,6737,Not Voting,16,5,11,0
23135,6738,Yea,49,16,33,0
23136,6738,Nay,34,20,12,2
23137,6738,Not Voting,17,6,11,0
23138,6739,Yea,59,13,45,1
23139,6739,Nay,28,24,3,1
23140,6739,Not Voting,13,5,8,0
23141,6740,Yea,60,21,39,0
23142,6740,Nay,26,16,8,2
23143,6740,Not Voting,14,5,9,0
23144,6741,Yea,57,19,38,0
23145,6741,Nay,26,16,8,2
23146,6741,Not Voting,17,7,10,0
23147,6742,Yea,37,5,32,0
23148,6742,Nay,46,29,15,2
23149,6742,Not Voting,17,8,9,0
23150,6743,Yea,54,23,30,1
23151,6743,Nay,25,9,15,1
23152,6743,Not Voting,21,10,11,0
23153,6744,Yea,21,14,5,2
23154,6744,Nay,57,18,39,0
23155,6744,Not Voting,22,10,12,0
23156,6745,Yea,66,24,42,0
23157,6745,Nay,8,5,1,2
23158,6745,Present,1,1,0,0
23159,6745,Not Voting,25,12,13,0
23160,6746,Yea,36,6,30,0
23161,6746,Nay,32,24,6,2
23162,6746,Not Voting,32,12,20,0
23163,6747,Yea,34,5,29,0
23164,6747,Nay,28,21,6,1
23165,6747,Not Voting,38,16,21,1
23166,6748,Yea,47,7,40,0
23167,6748,Nay,33,22,9,2
23168,6748,Not Voting,20,13,7,0
23169,6749,Yea,36,22,12,2
23170,6749,Nay,45,7,38,0
23171,6749,Not Voting,19,13,6,0
23172,6750,Yea,78,29,47,2
23173,6750,Not Voting,22,13,9,0
23174,6751,Yea,49,10,39,0
23175,6751,Nay,39,27,10,2
23176,6751,Not Voting,12,5,7,0
23177,6752,Yea,42,30,10,2
23178,6752,Nay,43,7,36,0
23179,6752,Not Voting,15,5,10,0
23180,6753,Yea,48,31,15,2
23181,6753,Nay,36,6,30,0
23182,6753,Not Voting,16,5,11,0
23183,6754,Yea,55,14,41,0
23184,6754,Nay,29,22,5,2
23185,6754,Not Voting,16,6,10,0
23186,6755,Yea,31,14,16,1
23187,6755,Nay,51,21,29,1
23188,6755,Not Voting,18,7,11,0
23189,6756,Yea,15,3,12,0
23190,6756,Nay,64,30,32,2
23191,6756,Not Voting,21,9,12,0
23192,6757,Yea,68,28,38,2
23193,6757,Nay,10,5,5,0
23194,6757,Not Voting,22,9,13,0
23195,6758,Yea,44,27,16,1
23196,6758,Nay,41,11,29,1
23197,6758,Not Voting,15,4,11,0
23198,6759,Yea,29,27,1,1
23199,6759,Nay,57,11,46,0
23200,6759,Not Voting,14,4,9,1
23201,6760,Yea,6,6,0,0
23202,6760,Nay,81,32,48,1
23203,6760,Not Voting,13,4,8,1
23204,6761,Yea,85,35,49,1
23205,6761,Nay,3,1,2,0
23206,6761,Not Voting,12,6,5,1
23207,6762,Yea,71,20,51,0
23208,6762,Nay,17,16,0,1
23209,6762,Not Voting,12,6,5,1
23210,6763,Yea,57,8,48,1
23211,6763,Nay,28,28,0,0
23212,6763,Not Voting,15,6,8,1
23213,6764,Yea,37,35,2,0
23214,6764,Nay,44,0,43,1
23215,6764,Not Voting,19,7,11,1
23216,6765,Yea,11,11,0,0
23217,6765,Nay,66,21,44,1
23218,6765,Not Voting,23,10,12,1
23219,6766,Yea,82,34,46,2
23220,6766,Not Voting,18,8,10,0
23221,6767,Yea,80,33,45,2
23222,6767,Not Voting,20,9,11,0
23223,6768,Yea,48,40,7,1
23224,6768,Nay,42,1,40,1
